AmpId	gene	amp	amps_nb	SequenceId	cluster	cluster_group	sequence	PositionInSequence	Length	count_I	count_II	count_III	count_IV
ftsZ_amp_19	ftsZ	19.0	23.0	Ia_31_6270C00004.1	Ia	I	31_6270C00004.1	124904.0	757.0	16.0	0.0	7.0	0.0
ftsZ_amp_20	ftsZ	20.0	23.0	Ic_32_1122.1	Ic	I	32_1122.1	1709375.0	757.0	16.0	0.0	7.0	0.0
ftsZ_amp_21	ftsZ	21.0	23.0	Ic_33_6266C00020.1	Ic	I	33_6266C00020.1	102480.0	757.0	16.0	0.0	7.0	0.0
ftsZ_amp_22	ftsZ	22.0	23.0	Ic_34_23503C00112.1	Ic	I	34_23503C00112.1	1529.0	757.0	16.0	0.0	7.0	0.0
ftsZ_amp_23	ftsZ	23.0	23.0	I_3_22829C01035.2	I	I	3_22829C01035.2	274.0	757.0	16.0	0.0	7.0	0.0
pgk_amp_1	pgk	1.0	14.0	III_11_6264C00007.1	III	III	11_6264C00007.1	230750.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_2	pgk	2.0	14.0	III_13_6010C00002.1	III	III	13_6010C00002.1	395288.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_3	pgk	3.0	14.0	III_14_1121.1	III	III	14_1121.1	2487734.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_4	pgk	4.0	14.0	III_36_22311C00005.1	III	III	36_22311C00005.1	153087.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_5	pgk	5.0	14.0	III_37_9940C00426.1	III	III	37_9940C00426.1	44490.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_6	pgk	6.0	14.0	III_41_22826C00364.1	III	III	41_22826C00364.1	5230.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_7	pgk	7.0	14.0	Ia_21_284.1	Ia	I	21_284.1	4976160.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_8	pgk	8.0	14.0	Ia_22_14731C00063.1	Ia	I	22_14731C00063.1	5314.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_9	pgk	9.0	14.0	Ia_28_14556C00071.1	Ia	I	28_14556C00071.1	6393.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_10	pgk	10.0	14.0	Ia_29_19480C00023.1	Ia	I	29_19480C00023.1	94844.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_11	pgk	11.0	14.0	Ia_30_6268C00007.1	Ia	I	30_6268C00007.1	7976.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_12	pgk	12.0	14.0	Ic_32_1122.1	Ic	I	32_1122.1	1970582.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_13	pgk	13.0	14.0	Ic_33_6266C00046.1	Ic	I	33_6266C00046.1	4510.0	710.0	8.0	0.0	6.0	0.0
pgk_amp_14	pgk	14.0	14.0	Ic_34_23503C00307.1	Ic	I	34_23503C00307.1	3240.0	710.0	8.0	0.0	6.0	0.0
atpD_amp_1	atpD	1.0	36.0	III_11_6264C00005.1	III	III	11_6264C00005.1	407213.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_2	atpD	2.0	36.0	III_12_6265C00052.1	III	III	12_6265C00052.1	31114.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_3	atpD	3.0	36.0	III_13_6010C00001.1	III	III	13_6010C00001.1	1638643.0	755.0	21.0	0.0	9.0	6.0
atpD_amp_4	atpD	4.0	36.0	III_14_1121.1	III	III	14_1121.1	1205051.0	755.0	21.0	0.0	9.0	6.0
