AmpId	SequenceId	PositionInSequence	Length
atpD_amp_16	IV_20_6269C00006.1	376132	755
atpD_amp_17	IV_39_21414C00216.1	14301	755
atpD_amp_18	IV_7_22597C00110.1	40534	755
atpD_amp_19	IV_8_22598C00217.1	7786	755
atpD_amp_20	I_1_22555C00006.1	253578	755
atpD_amp_21	I_2_22603C00048.1	25512	755
atpD_amp_22	I_35_18770C00013.1	81470	755
atpD_amp_23	I_38_22827C00289.1	21282	755
atpD_amp_24	I_4_22608C00009.1	67945	755
atpD_amp_25	I_5_22828C00041.2	11241	755
atpD_amp_26	I_6_22825C00026.1	15982	755
atpD_amp_27	Ia_21_284.1	6431819	755
atpD_amp_28	Ia_22_14731C00011.1	13150	755
atpD_amp_29	Ia_23_10528C00026.1	45790	755
atpD_amp_30	Ia_24_14478C00016.1	11926	755
atpD_amp_31	Ia_25_17329C00192.1	10944	755
atpD_amp_32	Ia_26_17150C00178.1	12137	755
atpD_amp_33	Ia_27_19479C00034.1	79124	755
atpD_amp_34	Ia_28_14556C00046.1	13148	755
atpD_amp_35	Ia_29_19480C00033.1	68512	755
atpD_amp_36	Ia_30_6268C00097.1	41607	755
atpD_amp_37	Ia_31_6270C00018.1	116967	755
atpD_amp_38	Ic_32_1122.1	4440129	755
atpD_amp_39	Ic_33_6266C00024.1	23365	755
atpD_amp_40	Ic_34_23503C00233.1	8619	755
atpD_amp_41	I_3_22829C00031.2	5141	755
rpoB_amp_1	I_1_22555C00002.1	268697	438
rpoB_amp_2	I_35_18770C00001.1	300991	438
rpoB_amp_3	I_38_22827C00330.1	2500	438
rpoB_amp_4	I_4_22608C00006.1	6072	438
rpoB_amp_5	I_6_22825C00040.1	7797	438
rpoB_amp_6	Ia_21_284.1	1146202	438
rpoB_amp_7	Ia_24_14478C00013.1	16386	438
rpoB_amp_8	Ia_25_17329C00197.1	7045	438
rpoB_amp_9	Ia_26_17150C00182.1	24996	438
rpoB_amp_10	Ia_27_19479C00004.1	109759	438
rpoB_amp_11	Ia_29_19480C00003.1	330055	438
rpoB_amp_12	Ia_30_6268C00065.1	61876	438
rpoB_amp_13	Ia_31_6270C00008.1	9101	438
rpoB_amp_14	Ic_32_1122.1	664006	438
rpoB_amp_15	Ic_33_6266C00001.1	102610	438
rpoB_amp_16	Ic_34_23503C00200.1	31833	438
rpoB_amp_17	I_3_22829C00008.2	2461	438
