family	strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM000045	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000046	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1	1	0	0
33_frankia_FAM000048	6	4	10	4	4	4	3	8	4	2	3	3	9	9	9	5	9	9	8	4	9	8	4	4	6	4	3	6	3	6	3	3	4
33_frankia_FAM000050	3	0	0	2	1	1	0	1	2	0	2	2	1	1	1	1	1	1	1	2	2	3	4	1	2	1	2	2	2	1	1	0	1
33_frankia_FAM000051	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	1
33_frankia_FAM000052	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	2	0	1	0
33_frankia_FAM000053	3	2	1	1	2	1	3	4	2	3	1	1	1	1	1	1	1	1	1	0	0	1	0	2	3	2	4	4	4	4	8	2	6
33_frankia_FAM000054	24	22	25	22	24	23	5	29	9	8	8	6	11	10	11	8	10	10	15	17	15	13	4	24	29	21	13	30	20	38	37	12	31
33_frankia_FAM000055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	1
33_frankia_FAM000056	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0
33_frankia_FAM000057	4	3	0	4	3	3	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0
33_frankia_FAM000058	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1
33_frankia_FAM000059	3	2	2	2	4	2	2	3	2	1	2	2	2	2	2	1	2	2	2	1	2	1	4	5	5	6	3	4	5	2	7	2	8
33_frankia_FAM000061	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM000062	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1
33_frankia_FAM000063	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	2	1	1
33_frankia_FAM000064	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	1	1	2	1	2
33_frankia_FAM000065	2	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	1	1	1	2	3	2
33_frankia_FAM000066	49	70	63	75	72	76	32	70	38	43	31	30	32	32	32	29	32	33	33	35	47	45	39	77	87	69	63	104	74	103	124	61	96
33_frankia_FAM000067	5	11	7	10	12	10	4	7	1	4	0	0	1	2	2	2	2	2	2	1	3	2	5	8	12	7	4	12	5	9	9	4	11
33_frankia_FAM000068	2	3	2	3	3	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	1	0	2	0	1	1	1	1
33_frankia_FAM000069	3	11	11	9	11	9	1	1	2	1	0	0	2	2	2	2	2	2	2	1	0	0	2	8	11	7	4	9	5	13	11	3	6
33_frankia_FAM000070	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	3	1	0	0
33_frankia_FAM000071	20	21	19	22	22	23	3	30	8	2	5	5	7	8	7	6	7	8	11	6	17	18	7	40	46	35	29	52	34	58	60	17	65
33_frankia_FAM000072	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
